pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Diabetes mellitus with complication,Diabetes mellitus,E1300,E13.00,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),1,1,73211009,omop,201820,Diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M25673,M25.673,"Stiffness of unspecified ankle, not elsewhere classified",1,1,249912007,omop,4097158,Ankle stiff
Nervous system signs and symptoms,Cognitive problems,R262,R26.2,"Difficulty in walking, not elsewhere classified",1,1,719232003,omop,36714126,Difficulty walking
"Musculoskeletal pain, not low back pain",Joint pain,M79606,M79.606,"Pain in leg, unspecified",1,1,10601006,omop,4024561,Pain in lower limb
Diabetes mellitus with complication,Diabetes mellitus,E113549,E11.3549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,1,1501000119109,omop,43530685,Proliferative retinopathy due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103219,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1336,E13.36,Other specified diabetes mellitus with diabetic cataract,1,1,43959009,omop,376979,Cataract due to diabetes mellitus
Sleep wake disorders,Sleep disorders,G47429,G47.429,Narcolepsy in conditions classified elsewhere without cataplexy,1,1,91521000119104,omop,43531721,Narcolepsy without cataplexy
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I808,I80.8,Phlebitis and thrombophlebitis of other sites,1,1,64156001,omop,320741,Thrombophlebitis
Diabetes mellitus with complication,Diabetes mellitus,E084,E08.4,Diabetes mellitus due to underlying condition with neurological complications,1,1,8801005,omop,195771,Secondary diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89516,L89.516,Pressure-induced deep tissue damage of right ankle,1,1,11853811000119100,omop,42534969,Injury of right ankle
Nervous system signs and symptoms,Cognitive problems,R488,R48.8,Other symbolic dysfunctions,1,1,271721006,omop,432436,Symbolic dysfunction
Pressure ulcer of skin,Pressure ulcer,L89529,L89.529,"Pressure ulcer of left ankle, unspecified stage",1,1,699211004,omop,44782446,Pressure ulcer of ankle
Diabetes mellitus with complication,Diabetes mellitus,E083413,E08.3413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Headache; including migraine,Headache,G44311,G44.311,"Acute post-traumatic headache, intractable",1,1,290431000119101,omop,42535403,Intractable headache following trauma
Fever,Fever,R5081,R50.81,Fever presenting with conditions classified elsewhere,1,1,386661006,omop,437663,Fever
"Musculoskeletal pain, not low back pain",Joint pain,M79631,M79.631,Pain in right forearm,1,1,444899003,omop,40481180,Pain in forearm
"Musculoskeletal pain, not low back pain",Joint pain,M79609,M79.609,Pain in unspecified limb,1,1,90834002,omop,138525,Pain in limb
Headache; including migraine,Headache,R51,R51,Headache,1,1,25064002,omop,378253,Headache
Pressure ulcer of skin,Pressure ulcer,L89013,L89.013,"Pressure ulcer of right elbow, stage 3",1,1,225559007,omop,439410,Pressure ulcer of elbow
Diabetes mellitus with complication,Diabetes mellitus,E113211,E11.3211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,1,138911000119106,omop,45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
Other general signs and symptoms,Edema,R600,R60.0,Localized edema,1,1,274724004,omop,4171917,Localized edema
Pressure ulcer of skin,Pressure ulcer,L89026,L89.026,Pressure-induced deep tissue damage of left elbow,1,1,11776011000119101,omop,760750,Injury of left elbow region
Headache; including migraine,Headache,G43A0,G43.A0,"Cyclical vomiting, not intractable",1,1,18773000,omop,4077584,Cyclical vomiting syndrome
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R17,R17,Unspecified jaundice,1,1,18165001,omop,137977,Jaundice
Diabetes mellitus with complication,Diabetes mellitus,E0840,E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",1,1,8801005,omop,195771,Secondary diabetes mellitus
Nervous system signs and symptoms,Cognitive problems,R438,R43.8,Other disturbances of smell and taste,1,1,2611000119103,omop,43530714,Sensory disorder of smell and/or taste
Headache; including migraine,Headache,G4430,G44.30,"Post-traumatic headache, unspecified",1,1,54012000,omop,376104,Posttraumatic headache
Headache; including migraine,Headache,G4341,G43.41,"Hemiplegic migraine, intractable",1,1,423894005,omop,443615,Refractory migraine
Diabetes mellitus with complication,Diabetes mellitus,E1011,E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,1,1,421075007,omop,4224254,Ketoacidotic coma due to type 1 diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M25621,M25.621,"Stiffness of right elbow, not elsewhere classified",1,1,249917001,omop,4093193,Elbow stiff
Diabetes mellitus with complication,Diabetes mellitus,E103411,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Sleep wake disorders,Sleep disorders,G4769,G47.69,Other sleep related movement disorders,1,1,430893009,omop,4328804,Sleep related rhythmic movement disorder
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82B13,I82.B13,"Acute embolism and thrombosis of subclavian vein, bilateral",1,1,132611000119104,omop,44782762,Acute thrombosis of subclavian vein
Diabetes mellitus with complication,Diabetes mellitus,E1301,E13.01,Other specified diabetes mellitus with hyperosmolarity with coma,1,1,422126006,omop,4226238,Hyperosmolar coma due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E083552,E08.3552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0837X9,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0822,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,1,1,709044004,omop,46271022,Chronic kidney disease
Pressure ulcer of skin,Pressure ulcer,L89023,L89.023,"Pressure ulcer of left elbow, stage 3",1,1,225559007,omop,439410,Pressure ulcer of elbow
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80251,I80.251,Phlebitis and thrombophlebitis of right calf muscular vein,1,1,448157006,omop,40488439,Abnormality of systemic vein
"Musculoskeletal pain, not low back pain",Joint pain,M2560,M25.60,"Stiffness of unspecified joint, not elsewhere classified",1,1,84445001,omop,72404,Joint stiffness
Diabetes mellitus with complication,Diabetes mellitus,E133532,E13.3532,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,1,59276001,omop,380096,Proliferative retinopathy due to diabetes mellitus
Headache; including migraine,Headache,G442,G44.2,Tension-type headache,1,1,398057008,omop,376382,Tension-type headache
Diabetes mellitus with complication,Diabetes mellitus,E1110,E11.10,Type 2 diabetes mellitus with ketoacidosis without coma,1,1,111556005,omop,4009303,Diabetic ketoacidosis without coma
Neurocognitive disorders,Dementia,F0789,F07.89,Other personality and behavioral disorders due to known physiological condition,1,1,36217008,omop,380375,Organic personality disorder
Headache; including migraine,Headache,G44001,G44.001,"Cluster headache syndrome, unspecified, intractable",1,1,193031009,omop,381278,Cluster headache
Pressure ulcer of skin,Pressure ulcer,L89134,L89.134,"Pressure ulcer of right lower back, stage 4",1,1,699215008,omop,44783163,Pressure ulcer of lower back
Pressure ulcer of skin,Pressure ulcer,L89520,L89.520,"Pressure ulcer of left ankle, unstageable",1,1,699211004,omop,44782446,Pressure ulcer of ankle
Other specified and unspecified skin disorders,Hair loss,L631,L63.1,Alopecia universalis,1,1,86166000,omop,4312756,Alopecia universalis
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R160,R16.0,"Hepatomegaly, not elsewhere classified",1,1,80515008,omop,197676,Large liver
Nervous system signs and symptoms,Cognitive problems,R26,R26,Abnormalities of gait and mobility,1,1,22325002,omop,437643,Abnormal gait
Neurocognitive disorders,Dementia,G308,G30.8,Other Alzheimers disease,1,1,26929004,omop,378419,Alzheimer's disease
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82601,I82.601,Acute embolism and thrombosis of unspecified veins of right upper extremity,1,1,13730001000004107,omop,46273489,Thrombosis of vein of upper limb
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82461,I82.461,Acute embolism and thrombosis of right calf muscular vein,1,1,441739009,omop,40480453,Disorder of vein of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E133533,E13.3533,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,1,232023006,omop,4338901,Traction detachment of retina due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113292,E11.3292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,1,138911000119106,omop,45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103491,E10.3491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",1,1,60961000119107,omop,45763583,Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1101,E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma,1,1,190331003,omop,201530,Hyperosmolar coma due to type 2 diabetes mellitus
Anemia,Anemia,D64,D64,Other anemias,1,1,271737000,omop,439777,Anemia
Diabetes mellitus with complication,Diabetes mellitus,E11638,E11.638,Type 2 diabetes mellitus with other oral complications,1,1,118938008,omop,4042502,Disease of mouth
Diabetes mellitus with complication,Diabetes mellitus,E10351,E10.351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,1,1,60971000119101,omop,45763584,Proliferative retinopathy due to type 1 diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89210,L89.210,"Pressure ulcer of right hip, unstageable",1,1,699214007,omop,44782447,Pressure ulcer of hip
Diabetes mellitus with complication,Diabetes mellitus,E113312,E11.3312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G96810,G96.810,"Intracranial hypotension, unspecified",1,1,433691000124104,omop,45757801,Intracranial hypotension
Pressure ulcer of skin,Pressure ulcer,L89101,L89.101,"Pressure ulcer of unspecified part of back, stage 1",1,1,225558004,omop,439411,Pressure ulcer of back
Other specified and unspecified gastrointestinal disorders,Constipation,K591,K59.1,Functional diarrhea,1,1,47812002,omop,80141,Functional diarrhea
Diabetes mellitus with complication,Diabetes mellitus,E083493,E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,769188001,omop,35626044,Severe nonproliferative retinopathy of left eye due to diabetes mellitus
Other general signs and symptoms,Edema,R499,R49.9,Unspecified voice and resonance disorder,1,1,289186000,omop,4128827,Voice production finding
Sleep wake disorders,Sleep disorders,G4712,G47.12,Idiopathic hypersomnia without long sleep time,1,1,442292004,omop,40482713,Idiopathic hypersomnia without long sleep time
Diabetes mellitus with complication,Diabetes mellitus,E113532,E11.3532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,1,1501000119109,omop,43530685,Proliferative retinopathy due to type 2 diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80232,I80.232,Phlebitis and thrombophlebitis of left tibial vein,1,1,58309001,omop,4241473,Phlebitis of tibial vein
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80219,I80.219,Phlebitis and thrombophlebitis of unspecified iliac vein,1,1,42861008,omop,4176614,Thrombophlebitis of iliac vein
Diabetes mellitus with complication,Diabetes mellitus,E103493,E10.3493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,60961000119107,omop,45763583,Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus
Acute pulmonary embolism,Pulmonary embolism,I2699,I26.99,Other pulmonary embolism without acute cor pulmonale,1,1,59282003,omop,440417,Pulmonary embolism
Pressure ulcer of skin,Pressure ulcer,L89221,L89.221,"Pressure ulcer of left hip, stage 1",1,1,699214007,omop,44782447,Pressure ulcer of hip
Diabetes mellitus with complication,Diabetes mellitus,E133312,E13.3312,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,1,312904009,omop,377552,Moderate nonproliferative retinopathy due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I803,I80.3,"Phlebitis and thrombophlebitis of lower extremities, unspecified",1,1,64156001,omop,320741,Thrombophlebitis
Diabetes mellitus with complication,Diabetes mellitus,E1036,E10.36,Type 1 diabetes mellitus with diabetic cataract,1,1,421920002,omop,4225656,Cataract due to diabetes mellitus type 1
Diabetes mellitus with complication,Diabetes mellitus,E113492,E11.3492,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",1,1,399873008,omop,4266637,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8010,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein,1,1,195404000,omop,440738,Phlebitis of the femoral vein
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9341,G93.41,Metabolic encephalopathy,1,1,50122000,omop,372892,Metabolic encephalopathy
Headache; including migraine,Headache,R519,R51.9,"Headache, unspecified",1,1,25064002,omop,378253,Headache
Other specified upper respiratory infections,Acute pharyngitis,J029,J02.9,"Acute pharyngitis, unspecified",1,1,363746003,omop,25297,Acute pharyngitis
Headache; including migraine,Headache,G43C11,G43.C11,"Periodic headache syndromes in child or adult, intractable, with status migrainosus",1,1,NULL,omop,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E113213,E11.3213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1363,E13.63,Other specified diabetes mellitus with oral complications,1,1,74627003,omop,442793,Complication due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89212,L89.212,"Pressure ulcer of right hip, stage 2",1,1,699214007,omop,44782447,Pressure ulcer of hip
Diabetes mellitus with complication,Diabetes mellitus,E1149,E11.49,Type 2 diabetes mellitus with other diabetic neurological complication,1,1,421326000,omop,376065,Disorder of nervous system due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103313,E10.3313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,138891000119109,omop,37016180,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9612,G96.12,Meningeal adhesions (cerebral) (spinal),1,1,290241000119109,omop,43530717,Meningeal adhesions
Diabetes mellitus with complication,Diabetes mellitus,E083211,E08.3211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,1,8801005,omop,195771,Secondary diabetes mellitus
Headache; including migraine,Headache,G43C09,G43.C09,"Periodic headache syndromes in child or adult, not intractable, without status migrainosus",1,1,NULL,omop,NULL,NULL
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1901,R19.01,"Right upper quadrant abdominal swelling, mass and lump",1,1,274719002,omop,4168222,"Intra-abdominal and pelvic swelling, mass and lump"
Diabetes mellitus with complication,Diabetes mellitus,E08311,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E08630,E08.630,Diabetes mellitus due to underlying condition with periodontal disease,1,1,2556008,omop,134398,Periodontal disease
Diabetes mellitus with complication,Diabetes mellitus,E103419,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Other general signs and symptoms,Edema,R6259,R62.59,Other lack of expected normal physiological development in childhood,1,1,447740001,omop,40486120,Delay in physiological development
Pressure ulcer of skin,Pressure ulcer,L8990,L89.90,"Pressure ulcer of unspecified site, unspecified stage",1,1,399912005,omop,135333,Pressure ulcer
Diabetes mellitus with complication,Diabetes mellitus,E0865,E08.65,Diabetes mellitus due to underlying condition with hyperglycemia,1,1,237621004,omop,4029420,Severe hyperglycemia due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E111,E11.1,Type 2 diabetes mellitus with ketoacidosis,1,1,421750000,omop,443734,Ketoacidosis due to type 2 diabetes mellitus
Nervous system signs and symptoms,Cognitive problems,R4183,R41.83,Borderline intellectual functioning,1,1,77287004,omop,4299505,Borderline intellectual disability
Diabetes mellitus with complication,Diabetes mellitus,E1335,E13.35,Other specified diabetes mellitus with proliferative diabetic retinopathy,1,1,59276001,omop,380096,Proliferative retinopathy due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89001,L89.001,"Pressure ulcer of unspecified elbow, stage 1",1,1,421076008,omop,132393,Pressure ulcer stage 1
Pressure ulcer of skin,Pressure ulcer,L89224,L89.224,"Pressure ulcer of left hip, stage 4",1,1,699214007,omop,44782447,Pressure ulcer of hip
Diabetes mellitus with complication,Diabetes mellitus,E1369,E13.69,Other specified diabetes mellitus with other specified complication,1,1,73211009,omop,201820,Diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89106,L89.106,Pressure-induced deep tissue damage of unspecified part of back,1,1,712893003,omop,37016775,Injury of back
Pressure ulcer of skin,Pressure ulcer,L89111,L89.111,"Pressure ulcer of right upper back, stage 1",1,1,421076008,omop,132393,Pressure ulcer stage 1
Respiratory signs and symptoms,Dyspnea,R07,R07,Pain in throat and chest,1,1,279001004,omop,4132926,Pain finding at anatomical site
Diabetes mellitus with complication,Diabetes mellitus,E1037,E10.37,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment",1,1,739681000,omop,42538169,Disorder of eye due to type 1 diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M2554,M25.54,Pain in joints of hand,1,1,202472008,omop,78234,Hand joint pain
Diabetes mellitus with complication,Diabetes mellitus,E133219,E13.3219,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312903003,omop,378743,Mild nonproliferative retinopathy due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L8942,L89.42,"Pressure ulcer of contiguous site of back, buttock and hip, stage 2",1,1,699215008,omop,44783163,Pressure ulcer of lower back
Diabetes mellitus with complication,Diabetes mellitus,E08341,E08.341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema,1,1,399872003,omop,4290822,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113542,E11.3542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,1,232012007,omop,4338897,Combined traction and rhegmatogenous retinal detachment
"Musculoskeletal pain, not low back pain",Joint pain,M25522,M25.522,Pain in left elbow,1,1,202480001,omop,4116166,Elbow joint pain
"Musculoskeletal pain, not low back pain",Joint pain,M79621,M79.621,Pain in right upper arm,1,1,287046004,omop,4115170,Pain in right arm
Diabetes mellitus with complication,Diabetes mellitus,E113519,E11.3519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",1,1,1501000119109,omop,43530685,Proliferative retinopathy due to type 2 diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M2556,M25.56,Pain in knee,1,1,57676002,omop,77074,Joint pain
Diabetes mellitus with complication,Diabetes mellitus,E0862,E08.62,Diabetes mellitus due to underlying condition with skin complications,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1141,E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy,1,1,420436000,omop,4222415,Mononeuropathy due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133549,E13.3549,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,1,232012007,omop,4338897,Combined traction and rhegmatogenous retinal detachment
Diabetes mellitus with complication,Diabetes mellitus,E138,E13.8,Other specified diabetes mellitus with unspecified complications,1,1,74627003,omop,442793,Complication due to diabetes mellitus
Anemia,Anemia,D61,D61,Other aplastic anemias and other bone marrow failure syndromes,1,1,127035006,omop,4131124,Bone marrow disorder
Diabetes mellitus with complication,Diabetes mellitus,E1362,E13.62,Other specified diabetes mellitus with skin complications,1,1,238982009,omop,4033942,Diabetic dermopathy
Diabetes mellitus with complication,Diabetes mellitus,E133553,E13.3553,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",1,1,59276001,omop,380096,Proliferative retinopathy due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E083551,E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",1,1,816961009,omop,37311833,Stable treated proliferative retinopathy of right eye due to diabetes mellitus
Headache; including migraine,Headache,G43B1,G43.B1,"Ophthalmoplegic migraine, intractable",1,1,431061000124100,omop,762725,"Ophthalmoplegic migraine, refractory"
Diabetes mellitus with complication,Diabetes mellitus,E13331,E13.331,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,1,1,312904009,omop,377552,Moderate nonproliferative retinopathy due to diabetes mellitus
Other specified and unspecified skin disorders,Hair loss,L749,L74.9,"Eccrine sweat disorder, unspecified",1,1,402647004,omop,4291291,Disorder of eccrine sweat glands
Sleep wake disorders,Sleep disorders,G47,G47,Sleep disorders,1,1,39898005,omop,435524,Sleep disorder
Respiratory signs and symptoms,Dyspnea,R0683,R06.83,Snoring,1,1,72863001,omop,4248728,Snoring
Nervous system signs and symptoms,Cognitive problems,R269,R26.9,Unspecified abnormalities of gait and mobility,1,1,22325002,omop,437643,Abnormal gait
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R152,R15.2,Fecal urgency,1,1,71820002,omop,4216708,Urgent desire for stool
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82442,I82.442,Acute embolism and thrombosis of left tibial vein,1,1,132261000119104,omop,44782744,Acute deep venous thrombosis of tibial vein
Diabetes mellitus with complication,Diabetes mellitus,E113391,E11.3391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",1,1,138921000119104,omop,45770881,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
Headache; including migraine,Headache,G4311,G43.11,"Migraine with aura, intractable",1,1,423683008,omop,372886,Refractory migraine with aura
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2230,O22.30,"Deep phlebothrombosis in pregnancy, unspecified trimester",1,1,173300003,omop,439658,Disorder of pregnancy
Diabetes mellitus with complication,Diabetes mellitus,E131,E13.1,Other specified diabetes mellitus with ketoacidosis,1,1,73211009,omop,201820,Diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0862,E08.62,Diabetes mellitus due to underlying condition with skin complications,1,1,95320005,omop,4317258,Disorder of skin
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82453,I82.453,"Acute embolism and thrombosis of peroneal vein, bilateral",1,1,441739009,omop,40480453,Disorder of vein of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E10620,E10.620,Type 1 diabetes mellitus with diabetic dermatitis,1,1,72021000119109,omop,45769832,Dermopathy due to type 1 diabetes mellitus
Sleep wake disorders,Sleep disorders,F513,F51.3,Sleepwalking [somnambulism],1,1,80495009,omop,377535,Sleep walking disorder
