"atc_name","atc_code","rxnorm_code","rxnorm_name"
"metformin and canagliflozin","A10BD16","1811001","canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","847911","exenatide 0.01 MG/ACTUAT [Byetta]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373470","canagliflozin 300 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1991302","semaglutide"
"pioglitazone and alogliptin","A10BD09","1368431","alogliptin 25 MG / pioglitazone 30 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","574042","repaglinide 0.5 MG [NovoNorm]"
"Sulfonylureas","A10BB","10633","tolazamide"
"Sulfonylureas","A10BB","669985","glyburide 2.5 MG Oral Tablet [Glyburase]"
"metformin and sulfonylureas","A10BD02","861736","glipizide 2.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"Sulfonylureas","A10BB","393405","gliclazide 30 MG"
"metformin; oral","A10BA02","861014","metformin hydrochloride 1000 MG [Glumetza]"
"Sulfonylureas","A10BB","566764","glyburide 2.5 MG [Diabeta]"
"metformin and ertugliflozin","A10BD23","1992703","ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803902","{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector) } Pack"
"metformin and ertugliflozin","A10BD23","1992687","ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG [Segluromet]"
"saxagliptin and dapagliflozin","A10BD21","1925501","dapagliflozin / saxagliptin Oral Tablet [Qtern]"
"metformin and linagliptin","A10BD11","1243015","linagliptin 2.5 MG"
"Sulfonylureas","A10BB","331496","glyburide 4.5 MG"
"metformin and linagliptin","A10BD11","1796098","linagliptin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Jentadueto]"
"metformin and empagliflozin","A10BD20","1665368","empagliflozin 12.5 MG / metformin hydrochloride 1000 MG [Synjardy]"
"Sulfonylureas","A10BB","A10BB11","glisoxepide"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1488568","dapagliflozin Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1544920","exenatide 3.08 MG/ML Pen Injector [Bydureon]"
"metformin and saxagliptin","A10BD10","1043583","metformin hydrochloride 500 MG / saxagliptin 5 MG Extended Release Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1488569","dapagliflozin 10 MG Oral Tablet"
"Thiazolidinediones","A10BG","368317","troglitazone Oral Tablet [Rezulin]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373471","canagliflozin 300 MG Oral Tablet"
"Sulfonylureas","A10BB","A10BB08","gliquidone; oral"
"metformin and dapagliflozin","A10BD15","1593057","dapagliflozin / metformin Extended Release Oral Tablet"
"Thiazolidinediones","A10BG","261242","rosiglitazone 4 MG Oral Tablet [Avandia]"
"Sulfonylureas","A10BB","198292","tolazamide 250 MG Oral Tablet"
"Thiazolidinediones","A10BG","316869","troglitazone 200 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","A10BH07","evogliptin; oral"
