ATC_NAME,ATC_CODE,ATC_TYPE,RXNORM_NAME,RXNORM_CODE,RXNORM_TYPE,MEDICATION_CLASS
Antibiotics,A07AA,ATC,vancomycin 50 MG/ML Oral Solution,2000134,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B,732,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 100 MG/ML,342893,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 83.3 MG/ML,328859,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin,11124,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV 194 MG Delayed Release Oral Tablet [Aemcolo],2106362,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 10 MG Oral Lozenge,199417,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV 194 MG,2106352,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 250 MG,335168,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 25 MG/ML Oral Solution [Firvanq],2000133,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 25 MG/ML Oral Solution,2000127,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML,316395,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 4 MG/ML Oral Solution,251779,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 200 MG [XIFAXAN],539787,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 65000 UNT/ML Oral Suspension,419844,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV Delayed Release Oral Tablet [Aemcolo],2106359,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG Oral Tablet,251350,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 200 MG/ML Oral Solution,1995466,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 25 MG,353652,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 4 MG/ML,332930,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 250 MG Oral Capsule,409827,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG,323939,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Oral Capsule,312058,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Mycostatin],543547,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 83.3 MG/ML Oral Solution [Vancocin],209264,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin 500 MG Oral Capsule [Kantrex],206952,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Infestat],152739,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Nystamont],151285,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 200 MG Oral Tablet [XIFAXAN],539789,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG Oral Capsule,314184,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin,7934,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 87 MG/ML,330798,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 10 MG Oral Lozenge,433032,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Suspension,370583,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 140 MG/ML Oral Solution [Neovet],1366652,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 40 MG/ML Oral Suspension,2279843,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 25 MG/ML Oral Solution,1374842,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 50000 UNT/ML Oral Solution [Colomycin],755028,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Nilstat],570868,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML [Fungilin],564024,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 83.3 MG/ML Oral Suspension,485094,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 10 MG/ML,446642,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,streptomycin 100 MG Oral Capsule,410016,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 2000000 UNT Oral Tablet,433808,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Tablet,370894,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 50000 UNT/ML Oral Suspension,419850,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 162500 UNT Oral Capsule,410015,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 10 MG,446627,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,polymyxin B Oral Tablet,450821,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin Oral Suspension,2279842,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Solution [DriTail],892117,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin Oral Tablet [Dificid],1111109,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Injectable Solution,1117521,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 140 MG/ML,1366645,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 500 MG [Neo-Tab],883522,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Solution,374282,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Oral Tablet,371628,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Tablet [Neo-Tab],368778,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Solution [Mycifradin],364088,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Tablet [Mycostatin],93378,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Nilstat],365932,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Lozenge,373134,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin Oral Capsule,370729,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Delayed Release Oral Tablet [Mycostatin],544240,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG,328487,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 300000 UNT Oral Capsule,409826,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 40 MG/ML [Dificid],2279844,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 200 MG/ML,1995465,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 1500000 UNT,385522,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin,7268,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin,7299,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin,7597,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT,316398,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT,724567,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 50 MG/ML Oral Solution [Firvanq],2000136,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 250 MG Oral Capsule,313571,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 10 MG,329264,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 1000000 UNT Oral Capsule [Bio-Statin],210325,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML [Fungizone],571725,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Extended Release Oral Tablet,346501,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG [Humatin],568121,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 5 MG/ML,330841,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension,312055,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 125 MG,328783,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Oral Capsule [Bio-Statin],210390,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 200 MG Oral Tablet,429662,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 125 MG Oral Capsule [Vancocin],201848,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Nystatin Dome],150830,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 1500000 UNT Oral Tablet,105268,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin,6099,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Oral Tablet [Mycostatin],210421,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Suspension [Fungilin],365896,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Oral Suspension,371627,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Oral Tablet [Colomycin],385851,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin Oral Capsule [Kantrex],366225,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Solution,452700,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 40 MG/ML,2279840,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Infestat],385961,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Tablet,373137,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Capsule,373132,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Capsule,437552,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,loperamide / neomycin Oral Tablet,372635,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin Oral Suspension [Dificid],2279845,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycins,9385,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 100 MG/ML Oral Solution,756318,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 25 MG/ML Oral Solution,756139,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 50 MG/ML Oral Suspension,1542942,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 20 MG/ML [DriTail],892116,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 87 MG/ML Oral Solution,633163,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 40 MG/ML Oral Suspension [Dificid],2279847,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Oral Solution [Colomycin],756550,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Tablet [Nystan],385854,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 200000 UNT [Mycostatin Pastilles],570898,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 140 MG/ML [Neovet],1366648,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Solution [Neovet],1366649,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin Oral Tablet,1111105,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 200 MG [Dificid],1111108,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 200 MG Oral Tablet,1111106,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 550 MG Oral Tablet,856664,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 550 MG Oral Tablet [XIFAXAN],856666,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin Oral Capsule,373244,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin Oral Tablet [XIFAXAN],539788,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin Oral Suspension,451307,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Solution [Vancocin],364188,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Capsule [Vancocin],402421,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Capsule,374281,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin Oral Tablet,446630,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin Oral Lozenge,446628,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 25 MG/ML [Mycifradin],1376249,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 200 MG,1111104,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,polymyxin B,8536,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 1500000 UNT Oral Tablet [Colomycin],150823,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,streptomycin,10109,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin 500 MG,328376,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin,35619,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 250 MG,328784,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV 194 MG [Aemcolo],2106358,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 50 MG/ML [Firvanq],2000135,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV,35616,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 25 MG/ML [Firvanq],2000129,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT [Mycostatin],544239,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 200000 UNT,316396,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 1000000 UNT Oral Capsule,239241,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 3 MG/ML,335276,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 250 MG Oral Tablet,249511,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 120 MG,332931,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin,2709,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Nystamont],564975,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin Oral Tablet,447097,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Solution [Firvanq],2000130,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 100 MG Delayed Release Oral Tablet,433494,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Nystatin Dome],564819,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT [Nystan],564817,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Nystex],543550,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 300000 UNT,446819,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 9273 UNT/ML,446648,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 100 MG/ML,446645,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 65000 UNT/ML,446635,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 25 MG/ML,446629,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG Oral Capsule [Humatin],207347,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 500000 UNT Oral Tablet,433807,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 25 MG/ML Oral Solution,421923,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 20 MG/ML Oral Suspension,420257,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 87 MG/ML Oral Suspension,346489,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 1000000 UNT,330829,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 5 MG/ML Oral Suspension,309502,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 120 MG Oral Tablet,251780,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Nystex],210341,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,polymyxin B 250000 UNT Oral Tablet,433809,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV 194 MG Delayed Release Oral Tablet,2106356,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 25 MG/ML,1495038,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 25 MG/ML,1374841,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 25 MG/ML Oral Solution [Mycifradin],1376250,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT Oral Lozenge,724575,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin 200 MG Oral Tablet [Dificid],1111110,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifamycin SV Delayed Release Oral Tablet,2106355,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,fidaxomicin,1111103,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 83.3 MG/ML Oral Solution,239211,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 50 MG/ML,328858,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML Oral Suspension,199264,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML Oral Suspension [Fungizone],211273,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 100 MG/ML Oral Solution,860441,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,kanamycin 500 MG Oral Capsule,311215,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,loperamide 2 MG / neomycin 250 MG Oral Tablet,248677,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin Oral Capsule [Paromycin],366199,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 550 MG [XIFAXAN],856665,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 550 MG,856663,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Delayed Release Oral Tablet,544237,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin Oral Tablet,451309,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,streptomycin Oral Capsule,451949,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 140 MG/ML Oral Solution,1366646,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Capsule,446644,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML Oral Suspension [Fungilin],105318,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Nystatin Dome],385858,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Nystan],385855,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Nystamont],386027,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Suspension [Fungizone],366121,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B Oral Lozenge,374833,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 500 MG,1807515,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Tablet,373022,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 50000 UNT/ML Oral Solution,755852,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 25 MG Oral Tablet,430576,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 250 MG,437551,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 125000 UNT/ML,438621,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 10 MG/ML,446623,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin 100 MG,446625,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 162500 UNT,446643,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,amphotericin B 100 MG/ML,315372,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,polymyxin B 250000 UNT,450820,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 50000 UNT/ML,385523,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 200 MG,451308,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Delayed Release Oral Tablet,544238,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT Delayed Release Oral Tablet [Mycostatin],544241,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 1500000 UNT [Colomycin],564813,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 125 MG [Vancocin],566030,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG [Paromycin],568122,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 25 MG/ML,447095,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 125 MG Oral Capsule,313570,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Nystan],150829,RxNorm,Antibiotics (systemic)
