,PASC Name Simple,HD Domain (Defined by Nature paper),CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,ICD-10-CM,ICD-10-CM Code Description,Organ Domain,Original CCSR Domain
26,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.6,Hiccough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
27,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.7,Sneezing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
28,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.8,Other abnormalities of breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
29,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.81,"Apnea, not elsewhere classified",Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
30,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.82,"Tachypnea, not elsewhere classified",Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
31,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.83,Snoring,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
32,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.89,Other abnormalities of breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
33,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.9,Unspecified abnormalities of breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
34,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R07,Pain in throat and chest,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
35,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R07.1,Chest pain on breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
36,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R07.81,Pleurodynia,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
37,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R07.82,Intercostal pain,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
38,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09,Other symptoms and signs involving the circulatory and respiratory system,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
39,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.0,Asphyxia and hypoxemia,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
40,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.01,Asphyxia,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
41,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.02,Hypoxemia,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
42,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.3,Abnormal sputum,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
43,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.8,Other specified symptoms and signs involving the circulatory and respiratory systems,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
44,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.81,Nasal congestion,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
45,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R09.82,Postnasal drip,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
46,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L63.0,Alopecia (capitis) totalis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
47,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L63.1,Alopecia universalis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
48,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L63.2,Ophiasis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
49,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L63.8,Other alopecia areata,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
50,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L63.9,"Alopecia areata, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
51,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L64.8,Other androgenic alopecia,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
52,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L64.9,"Androgenic alopecia, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
53,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L65.0,Telogen effluvium,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
54,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L65.1,Anagen effluvium,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
55,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L65.2,Alopecia mucinosa,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
56,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L65.8,Other specified nonscarring hair loss,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
57,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L65.9,"Nonscarring hair loss, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
58,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.510,"Primary focal hyperhidrosis, axilla",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
59,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.511,"Primary focal hyperhidrosis, face",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
60,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.512,"Primary focal hyperhidrosis, palms",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
61,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.513,"Primary focal hyperhidrosis, soles",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
62,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.519,"Primary focal hyperhidrosis, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
63,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.52,Secondary focal hyperhidrosis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
64,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.8,Other eccrine sweat disorders,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
65,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L74.9,"Eccrine sweat disorder, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
66,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L75.0,Bromhidrosis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
67,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L75.1,Chromhidrosis,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
68,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L75.2,Apocrine miliaria,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
69,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L75.8,Other apocrine sweat disorders,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
70,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L75.9,"Apocrine sweat disorder, unspecified",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
71,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L80,Vitiligo,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
72,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L81.0,Postinflammatory hyperpigmentation,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
73,Hair loss,Diseases of the Skin and Subcutaneous Tissue,SKN007,Other specified and unspecified skin disorders,L94.0,Localized scleroderma [morphea],Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
74,Hair loss,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SKN007,Other specified and unspecified skin disorders,L94.1,Linear scleroderma,Diseases of the Skin and Subcutaneous Tissue,Diseases of the Skin and Subcutaneous Tissue
75,Malaise and fatigue,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM007,Malaise and fatigue,R53,Malaise and fatigue,General,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
76,Malaise and fatigue,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM007,Malaise and fatigue,R53.1,Weakness,General,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
77,Malaise and fatigue,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM007,Malaise and fatigue,R53.81,Other malaise,General,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
78,Malaise and fatigue,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM007,Malaise and fatigue,R53.82,"Chronic fatigue, unspecified",General,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
79,Malaise and fatigue,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM007,Malaise and fatigue,R53.83,Other fatigue,General,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
80,U099/B948,,,PASC-General,B94.8,Sequelae of other specified infectious and parasitic diseases),General,Certain Infectious and Parasitic Diseases
81,U099/B948,,,PASC-General,U09.9,"Post COVID-19 condition, unspecified",General,Certain Infectious and Parasitic Diseases
82,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26,Pulmonary embolism,Diseases of the Circulatory System,Diseases of the Circulatory System
83,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.0,Pulmonary embolism with acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
84,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.01,Septic pulmonary embolism with acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
85,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
86,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.09,Other pulmonary embolism with acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
87,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.9,Pulmonary embolism without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
88,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.90,Septic pulmonary embolism without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
89,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.92,Saddle embolus of pulmonary artery without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
90,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.93,Single subsegmental pulmonary embolism without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
91,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.94,Multiple subsegmental pulmonary emboli without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
92,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I26.99,Other pulmonary embolism without acute cor pulmonale,Diseases of the Circulatory System,Diseases of the Circulatory System
93,Pulmonary embolism,Diseases of the Circulatory System,CIR013,Acute pulmonary embolism,I30,Acute pericarditis,Diseases of the Circulatory System,Diseases of the Circulatory System
94,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00,Abnormalities of heart beat,Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
95,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00.0,"Tachycardia, unspecified",Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
96,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00.1,"Bradycardia, unspecified",Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
97,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00.2,Palpitations,Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
98,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00.8,Other abnormalities of heart beat,Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
99,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R00.9,Unspecified abnormalities of heart beat,Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
100,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R01,Cardiac murmurs and other cardiac sounds,Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
101,Abnormal heartbeat,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM012,Circulatory signs and symptoms,R03,"Abnormal blood-pressure reading, without diagnosis",Diseases of the Circulatory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
102,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J18.2,"Hypostatic pneumonia, unspecified organism",Diseases of the Respiratory System,Diseases of the Respiratory System
103,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J22,Unspecified acute lower respiratory infection,Diseases of the Respiratory System,Diseases of the Respiratory System
104,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J81.0,Acute pulmonary edema,Diseases of the Respiratory System,Diseases of the Respiratory System
105,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J81.1,Chronic pulmonary edema,Diseases of the Respiratory System,Diseases of the Respiratory System
106,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J82,"Pulmonary eosinophilia, not elsewhere classified",Diseases of the Respiratory System,Diseases of the Respiratory System
107,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J82.81,Chronic eosinophilic pneumonia,Diseases of the Respiratory System,Diseases of the Respiratory System
108,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J82.82,Acute eosinophilic pneumonia,Diseases of the Respiratory System,Diseases of the Respiratory System
109,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J82.83,Eosinophilic asthma,Diseases of the Respiratory System,Diseases of the Respiratory System
110,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J82.89,"Other pulmonary eosinophilia, not elsewhere classified",Diseases of the Respiratory System,Diseases of the Respiratory System
111,Pulmonary fibrosis,Diseases of the Respiratory System,RSP016,Other specified and unspecified lower respiratory disease,J84.01,Alveolar proteinosis,Diseases of the Respiratory System,Diseases of the Respiratory System
